"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
3186234,"Rašica","Rasica","Rascica,Rasica,Rašica,Raščica",45.855,14.6264,"P","PPL","SI","","D8","","","",267,NULL,514,"Europe/Ljubljana","2014-04-25"
3186239,"Mrše","Mrse","Merse,Mrse,Mrše",45.5831,14.0461,"P","PPL","SI","",35,"","","",29,NULL,710,"Europe/Ljubljana","2014-04-25"
3186254,"Žvirče","Zvirce","Zvirce,Žvirče",45.7839,14.8256,"P","PPL","SI","","N8","","","",125,NULL,441,"Europe/Ljubljana","2014-04-25"
3186269,"Žvab","Zvab","Zvab,Žvab",46.4671,16.1198,"P","PPL","SI","",87,"","","",89,NULL,278,"Europe/Ljubljana","2014-04-26"
3186270,"Žužemberk","Zuzemberk","Obcina Zuzemberk,Občina Žužemberk,Seisenberg,Zuzemberk,Zuzemperk,jujenberuku,Žužemberk,Žužemperk,ジュジェンベルク",45.8339,14.9292,"P","PPLA","SI","","N8","","","",1053,NULL,233,"Europe/Ljubljana","2014-04-27"
3186285,"Župelevec","Zupelevec","Zupelevec,Župelevec",45.9592,15.6872,"P","PPL","SI","","08","","","",211,NULL,188,"Europe/Ljubljana","2014-04-25"
3186323,"Žubina","Zubina","Zubina,Žubina",45.9483,14.9175,"P","PPL","SI","","D4","","","",96,NULL,337,"Europe/Ljubljana","2014-04-25"
3186341,"Zrkovci","Zrkovci","Zrkorci,Zrkovci",46.5478,15.7075,"P","PPL","SI","","J2","","","",629,NULL,245,"Europe/Ljubljana","2014-04-25"
3186346,"Zrin Lukački","Zrin Lukacki","Lukacki Zrin,Lukački Zrin,Zrin Lukacki,Zrin Lukački,Zrinj",45.95,17.4667,"P","PPL","SI","SI","00","","","",0,NULL,104,"Europe/Ljubljana","2012-01-19"
3186363,"Znojile pri Krki","Znojile pri Krki","Znojila,Znojile,Znojile pri Krki",45.8911,14.7842,"P","PPL","SI","",39,"","","",116,NULL,323,"Europe/Ljubljana","2014-04-24"
3186364,"Znojile","Znojile","Znojile",46.1961,13.9231,"P","PPL","SI","","D2","","","",11,NULL,690,"Europe/Ljubljana","2014-04-24"
3186370,"Zminec","Zminec","Zminec",46.15,14.2833,"P","PPL","SI","","B9","","","",464,NULL,401,"Europe/Ljubljana","2014-04-24"
3186385,"Zloganje","Zloganje","",45.9167,15.3,"P","PPL","SI","","00","","","",0,NULL,240,"Europe/Ljubljana","2016-04-11"
3186392,"Žlebič","Zlebic","Zlebic,Žlebič",45.7653,14.6931,"P","PPL","SI","","L1","","","",228,NULL,514,"Europe/Ljubljana","2014-04-25"
3186394,"Zlato Polje","Zlato Polje","Zlato Polje",46.1977,14.7268,"P","PPL","SI","",68,"","","",40,NULL,619,"Europe/Ljubljana","2014-04-26"
3186395,"Zlatoličje","Zlatolicje","Zatolice,Zatoliče,Zlatolicje,Zlatoličje",46.4556,15.7911,"P","PPL","SI","","C8","","","",768,NULL,239,"Europe/Ljubljana","2014-04-24"
3186413,"Zlakova","Zlakova","Zlakova",46.3867,15.4042,"P","PPL","SI","","F3","","","",147,NULL,542,"Europe/Ljubljana","2014-04-24"
3186415,"Žlabor","Zlabor","Zlabor,Žlabor",46.3167,14.95,"P","PPL","SI","",83,"","","",126,NULL,343,"Europe/Ljubljana","2014-04-25"
3186417,"Žižki","Zizki","Zizki,Zsizsekszer,Žižki",46.5725,16.3089,"P","PPL","SI","",15,"","","",0,NULL,169,"Europe/Ljubljana","2012-01-19"
3186441,"Žirovski Vrh","Zirovski Vrh","Zirovski Vrh,Žirovski Vrh",46.05,14.15,"P","PPL","SI","","F2","","","",238,NULL,695,"Europe/Ljubljana","2014-04-25"
3186442,"Žirovnica","Zirovnica","Obcina Zirovnica,Občina Žirovnica,Zirovnica,jirovunitsu~a,Žirovnica,ジロヴニツァ",46.4047,14.14,"P","PPLA","SI","","N7","","","",601,NULL,605,"Europe/Ljubljana","2014-04-27"
3186443,"Žirovnica","Zirovnica","Zirovnica,Žirovnica",46.0167,14.0833,"P","PPL","SI","",36,"","","",20,NULL,642,"Europe/Ljubljana","2014-04-25"
3186450,"Žiri","Ziri","Sairach,Ziri,Žiri",46.0422,14.1072,"P","PPLA","SI","","F2","","","",3588,NULL,479,"Europe/Ljubljana","2014-04-27"
3186456,"Zimica","Zimica","Zimica",46.5333,15.75,"P","PPL","SI","",26,"","","",604,NULL,316,"Europe/Ljubljana","2014-04-24"
3186457,"Žimarice","Zimarice","Zigmarice,Zimarice,Žigmarice,Žimarice",45.7786,14.6014,"P","PPL","SI","","M1","","","",277,NULL,563,"Europe/Ljubljana","2014-04-25"
3186459,"Zilje","Zilje","Zilje",45.4718,15.3006,"P","PPL","SI","",17,"","","",148,NULL,276,"Europe/Ljubljana","2014-04-26"
3186460,"Sveti Vid","Sveti Vid","Sent Vid,Svedi Vid nad Cerknico,Sveti Vid,Zilce,Šent Vid,Žilce",45.8483,14.4603,"P","PPL","SI","",13,"","","",46,NULL,833,"Europe/Ljubljana","2014-04-24"
3186461,"Žikarce","Zikarce","Zikarce,Žikarce",46.5194,15.7811,"P","PPLL","SI","",26,"","","",342,NULL,380,"Europe/Ljubljana","2014-04-25"
3186466,"Žiganja Vas","Ziganja Vas","Zganja Vas,Ziganja Vas,Žganja Vas,Žiganja Vas",46.3167,14.3,"P","PPL","SI","","D5","","","",481,NULL,539,"Europe/Ljubljana","2014-04-25"
3186469,"Zidani Most","Zidani Most","Steinbruck,Steinbrück,Zidani Most,Zidanij Most,ji da ni mo si te,Зидани Мост,Зиданий Мост,濟達尼莫斯特",46.0882,15.1728,"P","PPL","SI","",57,"","","",284,NULL,385,"Europe/Ljubljana","2014-04-26"
3186471,"Žice","Zice","Zice,Žice",46.6167,15.85,"P","PPL","SI","","M3","","","",261,NULL,288,"Europe/Ljubljana","2014-04-25"
3186472,"Žiče","Zice","Zice,Žiče",46.315,15.4797,"P","PPL","SI","","C4","","","",568,NULL,289,"Europe/Ljubljana","2014-04-25"
3186474,"Žibrše","Zibrse","Zibrse,Žibrše",45.9367,14.1761,"P","PPL","SI","",64,"","","",166,NULL,698,"Europe/Ljubljana","2014-04-25"
3186476,"Zibika","Zibika","Zibika",46.1939,15.5572,"P","PPL","SI","","C5","","","",186,NULL,242,"Europe/Ljubljana","2014-04-24"
3186480,"Zgornji Žerjavci","Zgornji Zerjavci","Zgornji Zerjavci,Zgornji Žerjavci",46.6019,15.8381,"P","PPLL","SI","","I3","","","",261,NULL,250,"Europe/Ljubljana","2014-04-25"
3186481,"Zgornji Velovlek","Zgornji Velovlek","Zgornji Velovlak,Zgornji Velovlek",46.4711,15.9047,"P","PPL","SI","","G1","","","",97,NULL,271,"Europe/Ljubljana","2014-04-26"
3186482,"Zgornji Tuhinj","Zgornji Tuhinj","Zgornji Tuhinj",46.2333,14.7833,"P","PPL","SI","","H6","","","",372,NULL,962,"Europe/Ljubljana","2014-04-24"
3186483,"Zgornji Slemen","Zgornji Slemen","Zgornji Slemen",46.5833,15.5167,"P","PPL","SI","","L5","","","",0,NULL,655,"Europe/Ljubljana","2012-05-06"
3186484,"Zgornji Razbor","Zgornji Razbor","Zgornji Razbor",46.4648,14.9899,"P","PPL","SI","","C2","","","",129,NULL,937,"Europe/Ljubljana","2014-04-27"
3186485,"Zgornji Porčič","Zgornji Porcic","Zgornji Porcic,Zgornji Porčič",46.5863,15.865,"P","PPLL","SI","","I3","","","",356,NULL,307,"Europe/Ljubljana","2014-04-26"
3186486,"Zgornji Otok","Zgornji Otok","Zgornji Otok",46.3529,14.2117,"P","PPL","SI","","A3","","","",64,NULL,535,"Europe/Ljubljana","2014-04-26"
3186487,"Zgornji Leskovec","Zgornji Leskovec","Ober Leskovec,Zgornji Leskovec",46.3303,15.9369,"P","PPL","SI","","N2","","","",157,NULL,222,"Europe/Ljubljana","2014-04-24"
3186488,"Zgornji Kašelj","Zgornji Kaselj","Zgornji Kaselj,Zgornji Kašelj",46.05,14.6167,"P","PPL","SI","",61,"","","",0,NULL,266,"Europe/Ljubljana","2014-04-06"
3186489,"Zgornji Kamenščak","Zgornji Kamenscak","Gornji Kamenscak,Gornji Kamenščak,Zgornji Kamenscak,Zgornji Kamenščak",46.5112,16.1377,"P","PPL","SI","","I6","","","",104,NULL,245,"Europe/Ljubljana","2014-04-26"
3186490,"Zgornji Jakobski Dol","Zgornji Jakobski Dol","Zgornji Jakobski Dol",46.6523,15.7163,"P","PPL","SI","",89,"","","",332,NULL,298,"Europe/Ljubljana","2014-04-27"
3186491,"Zgornji Hotič","Zgornji Hotic","Zgornji Hotic,Zgornji Hotič",46.1,14.8167,"P","PPL","SI","","I5","","","",252,NULL,459,"Europe/Ljubljana","2014-04-24"
3186492,"Zgornji Gasteraj","Zgornji Gasteraj","Zgornji Gasteraj",46.6361,15.7824,"P","PPL","SI","","P7","","","",126,NULL,307,"Europe/Ljubljana","2014-04-27"
3186493,"Zgornji Gabernik","Zgornji Gabernik","Zgornji Gabernik,Zgornji Gabrnik",46.2772,15.5725,"P","PPLL","SI","","A7","","","",140,NULL,426,"Europe/Ljubljana","2014-04-25"
3186494,"Zgornji Duplek","Zgornji Duplek","Zgornji Duplek",46.5136,15.7208,"P","PPL","SI","",26,"","","",1752,NULL,264,"Europe/Ljubljana","2014-04-24"
3186495,"Zgornji Čačič","Zgornji Cacic","Cacic,Zgornji Cacic,Zgornji Čačič,Čačič",45.545,14.7197,"P","PPL","SI","",88,"","","",9,NULL,611,"Europe/Ljubljana","2014-04-24"
3186496,"Zgornji Brnik","Zgornji Brnik","Zgorn'i-Brnik,Zgornji Brnik,Zgornji Brnjik,Згорньи-Брник",46.239,14.4844,"P","PPL","SI","",12,"","","",704,NULL,380,"Europe/Ljubljana","2017-02-11"
3186497,"Zgornji Boč","Zgornji Boc","Zgornji Boc,Zgornji Boč",46.5833,15.4667,"P","PPL","SI","","L5","","","",261,NULL,861,"Europe/Ljubljana","2014-04-24"
3186499,"Zgornje Vrtiče","Zgornje Vrtice","Zgornje Vrtice,Zgornje Vrtiče",46.6615,15.6173,"P","PPL","SI","","B3","","","",71,NULL,363,"Europe/Ljubljana","2014-04-25"
3186500,"Zgornje Verjane","Zgornje Verjane","Zgornje Verjane",46.5735,15.8922,"P","PPL","SI","","F9","","","",135,NULL,235,"Europe/Ljubljana","2014-04-27"
3186501,"Zgornje Tinsko","Zgornje Tinsko","Zgornje Tinsko",46.1706,15.5375,"P","PPL","SI","","C5","","","",142,NULL,229,"Europe/Ljubljana","2014-04-24"
3186502,"Zgornje Stranje","Zgornje Stranje","Zgornje Stranje",46.25,14.6,"P","PPL","SI","","H6","","","",424,NULL,417,"Europe/Ljubljana","2014-04-24"
3186503,"Zgornje Roje","Zgornje Roje","Zgornje Roje",46.25,15.1333,"P","PPL","SI","","N5","","","",130,NULL,261,"Europe/Ljubljana","2014-04-24"
3186504,"Zgornje Prebukovje","Zgornje Prebukovje","Zgornje Prebukovje",46.4328,15.5489,"P","PPL","SI","","L8","","","",171,NULL,638,"Europe/Ljubljana","2014-04-24"
3186505,"Zgornje Pobrežje","Zgornje Pobrezje","Zgornje Pobrezje",46.3,14.9,"P","PPL","SI","","O9","","","",112,NULL,412,"Europe/Ljubljana","2014-04-25"
3186506,"Zgornje Pirniče","Zgornje Pirnice","Zgornje Pirnice,Zgornje Pirniče",46.1425,14.4316,"P","PPL","SI","",71,"","","",1267,NULL,343,"Europe/Ljubljana","2014-04-26"
3186507,"Zgornje Palovče","Zgornje Palovce","Zgornje Palovce,Zgornje Palovice,Zgornje Paloviče,Zgornje Palovče",46.2133,14.6476,"P","PPL","SI","","H6","","","",40,NULL,691,"Europe/Ljubljana","2014-04-26"
3186508,"Zgornje Koseze","Zgornje Koseze","Zgornje Koseze",46.1494,14.8014,"P","PPL","SI","",77,"","","",90,NULL,480,"Europe/Ljubljana","2014-04-24"
3186509,"Zgornje Jezersko","Zgornje Jezersko","Zgornje Jezersko",46.3941,14.5066,"P","PPLA","SI","","H5","","","",568,NULL,985,"Europe/Ljubljana","2014-04-27"
3186510,"Zgornje Jarše","Zgornje Jarse","Zgornje Jarse,Zgornje Jarše",46.1623,14.5951,"P","PPL","SI","","G7","","","",385,NULL,320,"Europe/Ljubljana","2014-04-26"
3186511,"Zgornje Hoče","Zgornje Hoce","Hoce,Hoče,Zgornje Hoce,Zgornje Hoče",46.4918,15.6231,"P","PPL","SI","","H1","","","",676,NULL,323,"Europe/Ljubljana","2014-04-26"
3186512,"Zgornje Hlapje","Zgornje Hlapje","Zgornje Hlapje",46.6473,15.7268,"P","PPL","SI","",89,"","","",156,NULL,317,"Europe/Ljubljana","2014-04-26"
3186513,"Zgornje Grušovlje","Zgornje Grusovlje","Zgornje Grusovlje,Zgornje Grušovlje",46.275,15.11,"P","PPL","SI","","N5","","","",194,NULL,282,"Europe/Ljubljana","2014-04-25"
3186514,"Zgornje Gorje","Zgornje Gorje","Zgornje Gorje",46.3796,14.0694,"P","PPLA","SI","","O2","","","",500,NULL,609,"Europe/Ljubljana","2014-04-24"
3186515,"Zgornje Gorče","Zgornje Gorce","Zgornje Gorce,Zgornje Gorče",46.2988,15.0329,"P","PPL","SI","","F7","","","",65,NULL,306,"Europe/Ljubljana","2014-04-26"
3186516,"Zgornje Gameljne","Zgornje Gameljne","Zgornje Gameljne",46.1293,14.4908,"P","PPL","SI","",61,"","","",482,NULL,324,"Europe/Ljubljana","2014-04-26"
3186517,"Zgornje Duplje","Zgornje Duplje","Zgornje Duplje",46.3073,14.2912,"P","PPL","SI","",82,"","","",517,NULL,450,"Europe/Ljubljana","2014-04-26"
3186518,"Zgornje Dobrenje","Zgornje Dobrenje","Zgornje Dobrenje",46.654,15.6464,"P","PPL","SI","",89,"","","",87,NULL,291,"Europe/Ljubljana","2014-04-27"
3186519,"Zgornje Danje","Zgornje Danje","Zgornje Danje",46.2333,14.05,"P","PPL","SI","","F1","","","",4,NULL,1049,"Europe/Ljubljana","2014-04-24"
3186520,"Zgornje Bitnje","Zgornje Bitnje","Zgornje Bitnje",46.22,14.3367,"P","PPL","SI","",52,"","","",1480,NULL,386,"Europe/Ljubljana","2014-04-24"
3186521,"Zgornja Zadobrova","Zgornja Zadobrova","Zgornja Zadobrava,Zgornja Zadobrova",46.0667,14.6,"P","PPL","SI","",61,"","","",0,NULL,276,"Europe/Ljubljana","2012-01-19"
3186522,"Zgornja Voličina","Zgornja Volicina","Zgornja Volicina,Zgornja Voličina",46.5333,15.7833,"P","PPL","SI","",26,"","","",614,NULL,275,"Europe/Ljubljana","2014-04-24"
3186523,"Zgornja Vižinga","Zgornja Vizinga","Zgornja Vizinga,Zgornja Vižinga",46.6164,15.1986,"P","PPL","SI","","A2","","","",249,NULL,359,"Europe/Ljubljana","2014-04-25"
3186524,"Zgornja Velka","Zgornja Velka","Zgornja Velka",46.6753,15.7692,"P","PPLL","SI","","B3","","","",821,NULL,373,"Europe/Ljubljana","2014-04-24"
3186525,"Zgornja Sorica","Zgornja Sorica","Sorica,Zgornja Sorica,Zraz",46.2189,14.0303,"P","PPL","SI","","F1","","","",167,NULL,831,"Europe/Ljubljana","2014-04-24"
3186526,"Zgornja Šiška","Zgornja Siska","Zgornja Siska,Zgornja Šiška",46.0667,14.5,"P","PPLX","SI","",61,"","","",0,NULL,300,"Europe/Ljubljana","2014-04-06"
3186527,"Zgornja Senica","Zgornja Senica","Zgornja Senica",46.1545,14.3863,"P","PPL","SI","",71,"","","",279,NULL,344,"Europe/Ljubljana","2014-04-26"
3186528,"Zgornja Senarska","Zgornja Senarska","Zgornja Senarska",46.5653,15.8736,"P","PPL","SI","","P6","","","",118,NULL,237,"Europe/Ljubljana","2014-04-24"
3186529,"Zgornja Selnica","Zgornja Selnica","Zgornja Selnica",46.559,15.496,"P","PPL","SI","","L5","","","",428,NULL,410,"Europe/Ljubljana","2014-04-26"
3186530,"Zgornja Ročica","Zgornja Rocica","Zgornja Rocica,Zgornja Ročica",46.6305,15.8553,"P","PPL","SI","","F4","","","",67,NULL,300,"Europe/Ljubljana","2014-04-27"
3186531,"Zgornja Radovna","Zgornja Radovna","Zgornja Radovna",46.4333,13.9333,"P","PPL","SI","",53,"","","",73,NULL,840,"Europe/Ljubljana","2014-04-24"
3186532,"Zgornja Pristava","Zgornja Pristava","Zgornja Pristava",46.35,15.8333,"P","PPL","SI","","N2","","","",218,NULL,220,"Europe/Ljubljana","2014-04-24"
3186533,"Zgornja Polskava","Zgornja Polskava","Zgornja Polskava",46.4256,15.6122,"P","PPL","SI","","L8","","","",1208,NULL,294,"Europe/Ljubljana","2014-04-24"
3186534,"Zgornja Pohanca","Zgornja Pohanca","Gornja Pohanca,Zgornja Pohanca",45.9833,15.5667,"P","PPL","SI","","08","","","",104,NULL,315,"Europe/Ljubljana","2014-04-24"
3186535,"Zgornja Luša","Zgornja Lusa","Zgornja Lusa,Zgornja Luša",46.1833,14.2167,"P","PPL","SI","","B9","","","",101,NULL,471,"Europe/Ljubljana","2014-04-25"
3186536,"Ložnica","Loznica","",46.3333,15.65,"P","PPL","SI","","O5","","","",155,NULL,305,"Europe/Ljubljana","2014-04-27"
3186537,"Zgornja Lipnica","Zgornja Lipnica","Zgornja Lipnica",46.3252,14.1775,"P","PPL","SI","","A3","","","",168,NULL,537,"Europe/Ljubljana","2014-04-26"
3186538,"Zgornja Kungota","Zgornja Kungota","Ober Sankt Kunigund,Zgornja Kungota,Zgornja Spodnja Kungota,Zgornja Sveta Kungota",46.6392,15.6156,"P","PPLA","SI","",55,"","","",535,NULL,273,"Europe/Ljubljana","2014-04-27"
3186539,"Zgornja Kostrivnica","Zgornja Kostrivnica","Zgornja Kostrivnica",46.2631,15.5939,"P","PPL","SI","","A7","","","",147,NULL,289,"Europe/Ljubljana","2014-04-24"
3186540,"Zgornja Kapla","Zgornja Kapla","Zgornja Kapla",46.6389,15.3775,"P","PPL","SI","","K2","","","",169,NULL,727,"Europe/Ljubljana","2014-04-24"
3186541,"Jamnica","Jamnica","Jamnica,Zgornja Jamnica",46.6,14.8833,"P","PPL","SI","","K6","","","",78,NULL,821,"Europe/Ljubljana","2014-04-25"
3186542,"Zgornja Hrušica","Zgornja Hrusica","Zgornja Hrusica,Zgornja Hrušica",46.0333,14.5667,"P","PPL","SI","",61,"","","",0,NULL,303,"Europe/Ljubljana","2014-04-06"
3186543,"Zgornja Hajdina","Zgornja Hajdina","Zgornja Hajdina",46.4061,15.8386,"P","PPL","SI","","G9","","","",858,NULL,232,"Europe/Ljubljana","2014-04-24"
3186544,"Zgornja Draga","Zgornja Draga","Zgornja Draga",45.9415,14.7703,"P","PPL","SI","",39,"","","",132,NULL,385,"Europe/Ljubljana","2014-04-26"
3186545,"Zgornja Dobrava","Zgornja Dobrava","Zgornja Dobrava",46.3126,14.207,"P","PPL","SI","","A3","","","",159,NULL,520,"Europe/Ljubljana","2014-04-26"
3186546,"Zgornja Brežnica","Zgornja Breznica","Zgornja Breznica,Zgornja Brežnica",46.3369,15.5758,"P","PPL","SI","","L8","","","",76,NULL,276,"Europe/Ljubljana","2014-04-26"
3186547,"Zgornja Bistrica","Zgornja Bistrica","Zgornja Bistrica",46.3992,15.5424,"P","PPL","SI","","L8","","","",567,NULL,353,"Europe/Ljubljana","2014-04-26"
3186548,"Zgornja Besnica","Zgornja Besnica","Zgornja Besnica",46.2667,14.2833,"P","PPL","SI","",52,"","","",789,NULL,466,"Europe/Ljubljana","2014-04-24"
3186549,"Zgornja Bela","Zgornja Bela","Zgornja Bela",46.3,14.4,"P","PPL","SI","","K5","","","",317,NULL,490,"Europe/Ljubljana","2014-04-24"
3186552,"Zgonče","Zgonce","Zgonce,Zgonče",45.8317,14.5861,"P","PPL","SI","","D8","","","",8,NULL,598,"Europe/Ljubljana","2014-04-24"
3186557,"Žetale","Zetale","Obcina Zetale,Občina Žetale,Zetale,jetare,Žetale,ジェタレ",46.2736,15.8266,"P","PPLA","SI","","N6","","","",392,NULL,312,"Europe/Ljubljana","2014-04-27"
3186561,"Žerovinci","Zerovinci","Zerovinci,Žerovinci",46.4855,16.1539,"P","PPL","SI","","I6","","","",263,NULL,255,"Europe/Ljubljana","2014-04-26"
3186566,"Žepovci","Zepovci","Zepovci,Žepovci",46.6942,15.8697,"P","PPL","SI","","N9","","","",396,NULL,223,"Europe/Ljubljana","2014-04-25"
3186571,"Zenkovci","Zenkovci","Borostyan,Borostyán,Zenkovci,Zoltanhaza,Zoltánháza",46.7317,16.0861,"P","PPL","SI","",97,"","","",371,NULL,232,"Europe/Ljubljana","2014-04-24"
3186575,"Ženavlje","Zenavlje","Gyanafa,Zenavlje,Ženavlje",46.8414,16.1731,"P","PPL","SI","",31,"","","",109,NULL,357,"Europe/Ljubljana","2014-04-25"
3186577,"Zemelj","Zemelj","Zemelj",45.6121,15.2791,"P","PPL","SI","",73,"","","",61,NULL,169,"Europe/Ljubljana","2014-04-26"
3186579,"Zelše","Zelse","Zelse,Zelše",45.7986,14.3283,"P","PPL","SI","",13,"","","",107,NULL,581,"Europe/Ljubljana","2014-04-25"
3186585,"Željne","Zeljne","Sela,Zeljne,Željne",45.6586,14.8864,"P","PPL","SI","","H7","","","",555,NULL,473,"Europe/Ljubljana","2015-11-20"
3186605,"Želimlje","Zelimlje","Zelimlje,Želimlje",45.9156,14.5714,"P","PPL","SI","","C1","","","",416,NULL,362,"Europe/Ljubljana","2014-04-25"
3186606,"Železno","Zelezno","Zelezno,Železno",45.8808,14.9631,"P","PPL","SI","","D4","","","",51,NULL,282,"Europe/Ljubljana","2014-04-25"
3186607,"Železniki","Zelezniki","Zeleznica,Zelezniki,Železnica,Železniki",46.2248,14.1721,"P","PPLA","SI","","F1","","","",3075,NULL,513,"Europe/Ljubljana","2018-07-18"
3186620,"Zelen Breg","Zelen Breg","Zelen Breg",46.5798,14.9354,"P","PPL","SI","","K6","","","",162,NULL,710,"Europe/Ljubljana","2014-04-27"
3186627,"Žejno","Zejno","Zejno,Žejno",45.8667,15.6,"P","PPL","SI","","08","","","",104,NULL,369,"Europe/Ljubljana","2014-04-25"
3186628,"Žeje","Zeje","Zeie,Zeje,Žeje",45.7365,14.2334,"P","PPL","SI","",94,"","","",55,NULL,587,"Europe/Ljubljana","2014-04-27"
3186651,"Žebnik","Zebnik","Zebnik,Žebnik",46.0603,15.1462,"P","PPL","SI","",99,"","","",151,NULL,391,"Europe/Ljubljana","2014-04-26"
3186663,"Zdole","Zdole","Zdole",46.0906,15.552,"P","PPL","SI","",51,"","","",135,NULL,428,"Europe/Ljubljana","2014-04-26"
3186664,"Zdole","Zdole","Zdole",45.9772,15.5458,"P","PPL","SI","",54,"","","",287,NULL,305,"Europe/Ljubljana","2014-04-24"
3186667,"Zdenska Vas","Zdenska Vas","Zdenska Vas",45.8561,14.7053,"P","PPL","SI","",20,"","","",234,NULL,438,"Europe/Ljubljana","2014-04-24"
3186678,"Zbure","Zbure","Zbuke,Zbure",45.9056,15.2431,"P","PPL","SI","","P3","","","",162,NULL,194,"Europe/Ljubljana","2014-04-24"
3186686,"Zbilje","Zbilje","Zbilje",46.1667,14.4167,"P","PPL","SI","",52,"","","",837,NULL,350,"Europe/Ljubljana","2014-04-24"
3186687,"Zbigovci","Zbigovci","Zbigovci",46.6468,15.9678,"P","PPL","SI","",29,"","","",268,NULL,292,"Europe/Ljubljana","2014-04-26"
3186690,"Zbelovo","Zbelovo","Zbelovo",46.3,15.5333,"P","PPL","SI","","C4","","","",273,NULL,266,"Europe/Ljubljana","2014-04-24"
3186696,"Zazid","Zazid","Sasseto,Zazid",45.5019,13.9314,"P","PPL","SI","",50,"","","",70,NULL,383,"Europe/Ljubljana","2014-04-24"
3186697,"Žažar","Zazar","Zazar,Žažar",46.0092,14.2581,"P","PPL","SI","","H3","","","",169,NULL,448,"Europe/Ljubljana","2014-04-25"
3186698,"Zavrstnik","Zavrstnik","Zavrsnik,Zavrstnik",46.0472,14.8183,"P","PPL","SI","","L9","","","",364,NULL,285,"Europe/Ljubljana","2014-04-24"
3186699,"Završje","Zavrsje","Zavrsje,Završje",46.1,15.0333,"P","PPL","SI","","D3","","","",47,NULL,853,"Europe/Ljubljana","2014-04-25"
3186701,"Zavrh pri Borovnici","Zavrh pri Borovnici","Zaver,Zavrh,Zavrh pri Borovnici",45.9028,14.3464,"P","PPL","SI","","E5","","","",33,NULL,754,"Europe/Ljubljana","2014-04-24"
3186702,"Zavrh pod Smarno Goro","Zavrh pod Smarno Goro","Zaver,Zavrh,Zavrh pod Smarno Goro,Zavrh pod Šmarno Goro",46.1333,14.4667,"P","PPL","SI","",61,"","","",217,NULL,422,"Europe/Ljubljana","2014-09-12"
3186703,"Zavrh nad Dobrno","Zavrh nad Dobrno","Zaver,Zavrh,Zavrh nad Dobrno",46.35,15.25,"P","PPL","SI","","G3","","","",254,NULL,444,"Europe/Ljubljana","2014-04-24"
3186704,"Zavrh","Zavrh","Zaver,Zavrh,Zavrn",45.8311,14.5022,"P","PPL","SI","","F6","","","",12,NULL,778,"Europe/Ljubljana","2014-04-24"
3186705,"Zavrč","Zavrc","Zavrc,Zavrč",46.3917,16.0497,"P","PPLA","SI","","E9","","","",77,NULL,202,"Europe/Ljubljana","2014-04-27"
3186706,"Zavratec","Zavratec","Saurazzt,Zavratec",45.99,14.1319,"P","PPL","SI","",36,"","","",129,NULL,741,"Europe/Ljubljana","2014-04-24"
3186707,"Zavratec","Zavratec","",45.9599,15.3376,"P","PPL","SI","",54,"","","",92,NULL,375,"Europe/Ljubljana","2014-04-27"
3186713,"Zavodnje","Zavodnje","Zavodnje",46.4258,15.0178,"P","PPL","SI","","C7","","","",299,NULL,644,"Europe/Ljubljana","2014-04-24"
3186744,"Zastava","Zastava","Zastava",45.5833,15.2333,"P","PPL","SI","",17,"","","",13,NULL,178,"Europe/Ljubljana","2014-04-24"
3186756,"Zasavci","Zasavci","Zasavci,Zasavec",46.455,16.2314,"P","PPL","SI","",87,"","","",58,NULL,288,"Europe/Ljubljana","2014-04-24"
3186757,"Zasap","Zasap","Zasap",45.9,15.5167,"P","PPL","SI","","08","","","",56,NULL,156,"Europe/Ljubljana","2014-04-24"
3186769,"Zarečje","Zarecje","Sarecce,Zarecje,Zarečje",45.5736,14.2103,"P","PPL","SI","",38,"","","",147,NULL,436,"Europe/Ljubljana","2014-04-24"
3186771,"Zarečica","Zarecica","Sarecizza,Zarecica,Zarečica",45.5589,14.2267,"P","PPL","SI","",38,"","","",125,NULL,405,"Europe/Ljubljana","2014-04-24"
3186774,"Zapuže","Zapuze","Zapuze,Zapuže",46.3637,14.1913,"P","PPL","SI","","A3","","","",403,NULL,534,"Europe/Ljubljana","2014-04-26"
3186775,"Žapuže","Zapuze","Sapuse,Zapuze,Žapuže",45.8805,13.9187,"P","PPL","SI","","01","","","",377,NULL,124,"Europe/Ljubljana","2014-04-25"
3186779,"Zapreval","Zapreval","Za Prevalom,Zapreval",46.1737,14.1844,"P","PPL","SI","","B9","","","",28,NULL,962,"Europe/Ljubljana","2014-04-26"
3186782,"Zapotok","Zapotok","Zapotok",45.8769,14.5731,"P","PPL","SI","",37,"","","",295,NULL,620,"Europe/Ljubljana","2014-04-24"
3186783,"Zapotok","Zapotok","Zapotok",45.7608,14.6728,"P","PPL","SI","","M1","","","",181,NULL,565,"Europe/Ljubljana","2014-04-24"
3186785,"Zapoge","Zapoge","Zapoge",46.1803,14.4678,"P","PPL","SI","","E3","","","",266,NULL,341,"Europe/Ljubljana","2014-04-24"
3186788,"Zaplana","Zaplana","Zaplana",45.972,14.2309,"P","PPLL","SI","","E5","","","",114,NULL,626,"Europe/Ljubljana","2014-04-26"
